Noise Level,Rcorr,dcorr
0.0,1.0,0.9999999999999998
0.05,0.990156167344096,0.9882090115884109
0.1,0.9594601506942948,0.9540877433707639
0.15000000000000002,0.8949438407087287,0.8762908168379079
0.2,0.8351037895834988,0.8104653399051004
0.25,0.8123692905278701,0.8044123297279533
0.30000000000000004,0.7198864232539993,0.7187244006755572
0.35000000000000003,0.6706163335317538,0.6776334782207515
0.4,0.6147312091615107,0.6098377237595685
0.45,0.5520743841180986,0.6136637175781304
0.5,0.5458716794057428,0.5676933530455296
0.55,0.4498322276887762,0.4716766941966513
0.6000000000000001,0.34590377439929215,0.4235627134631659
0.65,0.44256708491788654,0.47535633177827946
0.7000000000000001,0.35891676558443786,0.44009545049714943
0.75,0.28865925143724885,0.40656305519210567
0.8,0.3979443879398604,0.4336450544607285
0.8500000000000001,0.22117931270087432,0.3260704381953902
0.9,0.19618092428048176,0.2957394157075438
0.9500000000000001,0.42115208012546373,0.44227746711357147
1.0,0.27529936647307607,0.3889274857935074
1.05,0.35722956738007994,0.4009802226063286
1.1,0.22446726697384445,0.32862147586538004
1.1500000000000001,0.20441785404806997,0.2784864951359741
1.2000000000000002,0.07262331823628082,0.2585465962868893
1.25,0.3341712865670598,0.425454520348643
1.3,0.23005190500807585,0.3327907428981998
1.35,0.1494581267578413,0.2952542899585217
1.4000000000000001,0.20705784531937435,0.2827191025428879
1.4500000000000002,0.2332064087438511,0.3088850247250616
1.5,0.2826398494681283,0.36277849753308705
1.55,0.1358938513365254,0.28792149253404187
1.6,0.18381917480755344,0.2815796025707487
1.6500000000000001,0.172602685792183,0.2635814997685037
1.7000000000000002,0.21179209194562273,0.2933304155032922
1.75,0.11906012446098452,0.26109803527095404
1.8,0.012917302016056379,0.219591684305109
1.85,0.1933441150034341,0.2754875440798582
1.9000000000000001,0.057832681289797724,0.21669685693040572
1.9500000000000002,-0.031103884300603558,0.24465451537807686
2.0,0.22132481491549638,0.32101963776479997
